4703	私は眠らなければなりません。	5662	Tôi phải đi ngủ.
4704	何してるの？	5663	Bạn đang làm gì đây?
4705	今日は６月１８日で、ムーリエルの誕生日です！	5665	Hôm nay là ngày 18 tháng sáu, và cũng là ngày sinh nhật của Muiriel!
4706	お誕生日おめでとうムーリエル！	5666	Chúc mừng sinh nhật, Muiriel!
4707	ムーリエルは２０歳になりました。	5667	Bây giờ Muiriel được 20 tuổi.
4708	パスワードは「Muiriel」です。	5668	Mật mã là "Muiriel".
4710	知らない。	5670	Tôi không biết.
4711	何と言ったら良いか分かりません。	5671	Tôi hết lời để nói.
4713	何と言ったらいいか・・・。	5673	Tôi không biết nên nói gì cả...
4714	こいつは悪いウサギだった。	5674	Đó là một con thỏ hung ác.
4715	私は山にいました。	5675	Tôi từ trên núi xuống.
4716	それは最近の写真？	5676	Tấm hình này có mới không?
4731	あなたの勉強を邪魔しないようにします。	5679	Tôi sẽ cố không quấy rầy bạn học hành.
4734	心配しないで。	5680	Đừng lo.
4738	眠った方がいいよ。	5682	Bạn nên đi ngủ đi.
4746	残念ながらそれは本当なのです。	5685	Tiếc rằng cái đó là sự thật.
4753	あ！蝶々がいる！	5687	Ô kìa, con bươm bướm!
4754	急いで！	5688	Mau lên!
4758	それは文脈による。	5690	Cái đó tùy thuộc vào văn cảnh.
4763	お金を稼ぎたいならアメリカが一番だ。	5692	Sống ở Mỹ rất thích nếu là ở đây để kiếm tiền.
4764	僕はすごく太ってる。	5693	Tôi mập quá.
4765	だから何？	5694	Thì sao?
4766	こらしめてやる。	5695	Tao sẽ bắn hạ nó.
4775	自分勝手にするつもりはない。	5697	Tôi không có ý định ích kỷ đâu.
4777	親友は何人いる？	5698	Bạn có bao nhiêu bạn thân?
4778	私は反社会的かもしれないけれど人と話さないわけではない。	2652568	Tôi có thể là một người phản xã hội, nhưng điều đó không đồng nghĩa với việc tôi không nói chuyện với ai.
4781	時間はいくらでも作れる。	5700	Một người luôn luôn có thể kiếm thêm thì giờ.
4793	欲しいものがみつかると、決まって高いものだ。	5704	Hễ tôi kiếm được cái gì tôi thích thì nó lại đắt quá.
4799	それは面白い。	5706	Cái đó nhìn hấp dẫn.
4811	私の物理の先生は授業をサボっても気にしない。	5707	Thầy vật lý không để ý đến việc lên lớp của tôi.
4813	人ごみは大嫌い。	5708	Tôi ghét những lúc đông người.
4819	警察はあなたに弾丸をみつけさせるでしょう。	5709	Cảnh sát sẽ bắt bạn tìm ra mấy viên đạn.
4826	何が言いたいのか分からないなあ。	5711	Tôi không biết ý của bạn là gì.
4828	自由について私に話したかったの？	5712	Bạn muốn nói với tôi về sự tự do hả?
